Left Behind (),Vic Sarin,Kirk Cameron,Brad Johnson,Janaya Stephens,Clarence Gilyard Jr.,
The One (2001),James Wong,Jet Li,Carla Gugino,Delroy Lindo,Jason Statham,
Eight Legged Freaks (2002),Ellory Elkayem,David Arquette,Kari Wuhrer,Scott Terra,Scarlett Johansson,
S1m0ne (2002),Andrew Niccol,Al Pacino,Catherine Keener,Rachel Roberts,Benjamin Salisbury,
Solaris (2002),Steven Soderbergh,George Clooney,Natascha McElhone,Ulrich Tukur,Viola Davis,
Spy Kids 2: Island of Lost Dreams (2002),Robert Rodriguez,Alexa PenaVega,Daryl Sabara,Antonio Banderas,Carla Gugino,
The Tuxedo (2002),Kevin Donovan,Jackie Chan,Jennifer Love Hewitt,Jason Isaacs,Debi Mazar,
The Core (2003),Jon Amiel,Aaron Eckhart,Hilary Swank,Delroy Lindo,Bruce Greenwood,
Spy Kids 3-D: Game Over (2003),Robert Rodriguez,Daryl Sabara,Alexa PenaVega,Antonio Banderas,Carla Gugino,
Anacondas: The Hunt for the Blood Orchid (2004),Dwight Little,Morris Chestnut,KaDee Strickland,Eugene Byrd,Johnny Messner,
Thunderbirds (2004),Jonathan Frakes,Bill Paxton,Anthony Edwards,Ben Kingsley,Brady Corbet,
Land of the Dead (2005),George A. Romero,John Leguizamo,Asia Argento,Simon Baker,Dennis Hopper,
A Sound of Thunder (2005),Peter Hyams,Edward Burns,Ben Kingsley,Catherine McCormack,Armin Rohde,
My Super Ex-Girlfriend (2006),Ivan Reitman,Uma Thurman,Luke Wilson,Anna Faris,Rainn Wilson,
The Invasion (2007),Oliver Hirschbiegel,Nicole Kidman,Daniel Craig,Jeremy Northam,Jackson Bond,
The Last Mimzy (2007),Bob Shaye,Joely Richardson,Rainn Wilson,Timothy Hutton,Chris O'Neil,
TMNT (2007),Kevin Munroe,Patrick Stewart,Mako,Chris Evans,Sarah Michelle Gellar,
Underdog (2007),Frederik Du Chau,Peter Dinklage,Jason Lee,Amy Adams,James Belushi,
Quarantine (2008),John Erick Dowdle,Jennifer Carpenter,Steve Harris,Columbus Short,Jay Hernandez,
Space Chimps (2008),Kirk DeMicco,Andy Samberg,Stanley Tucci,Jeff Daniels,Cheryl Hines,
Superhero Movie (2008),Craig Mazin,Drake Bell,Leslie Nielsen,Sara Paxton,Christopher McDonald,
Battle for Terra (2007),Aristomenis Tsirbas,Evan Rachel Wood,Luke Wilson,Justin Long,Chad Allen,
Mars Needs Moms (2011),Simon Wells,Seth Green,Joan Cusack,Dan Fogler,Elisabeth Harnois,
Freezing People Is Easy (),Director: Errol Morris,,,,,
Snowpiercer (2013),Joon-ho Bong,Chris Evans,Jamie Bell,Tilda Swinton,Alison Pill,
About Time (2013),Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,
The Congress (2013),Ari Folman,Robin Wright,Harvey Keitel,Jon Hamm,Paul Giamatti,
The Colony (2013),Jeff Renfroe,Kevin Zegers,Laurence Fishburne,Bill Paxton,Charlotte Sullivan,
Rollerball (1975),Norman Jewison,James Caan,John Houseman,Maud Adams,John Beck,
Escape to Witch Mountain (1975),John Hough,Eddie Albert,Ray Milland,Donald Pleasence,Kim Richards,
King Kong (1976),John Guillermin,Jeff Bridges,Charles Grodin,Jessica Lange,John Randolph,
The Man Who Fell to Earth (1976),Nicolas Roeg,David Bowie,Rip Torn,Candy Clark,Buck Henry,
Wizards (1977),Ralph Bakshi,Jesse Welles,Bob Holt,Richard Romanus,David Proval,
Capricorn One (1977),Peter Hyams,Elliott Gould,James Brolin,Brenda Vaccaro,Sam Waterston,
The Boys from Brazil (1978),Franklin J. Schaffner,Gregory Peck,Laurence Olivier,James Mason,Lilli Palmer,
Attack of the Killer Tomatoes! (1978),John De Bello,David Miller,George Wilson,Sharon Taylor,J. Stephen Peace,
Piranha (1978),Joe Dante,Bradford Dillman,Heather Menzies-Urich,Kevin McCarthy,Keenan Wynn,
The Black Hole (1979),Gary Nelson,Maximilian Schell,Anthony Perkins,Robert Forster,Joseph Bottoms,
